Our_ID,Species,City_Name,State_ID,Day,Month,Year,State_Name,Latitude,Longitude
1,Progne chalybea,Açailândia,MA,10,4,2013,Maranhão,-4.951377,-47.50666459
2,Progne subis,Alta Floresta,MT,14,9,2005,Mato Grosso,-9.871722597,-56.09161044
3,Progne subis,Alta Floresta,MT,2,12,2017,Mato Grosso,-9.871722597,-56.09161044
4,Progne subis,Alta Floresta,MT,8,2,2013,Mato Grosso,-9.871722597,-56.09161044
5,Progne subis,Alta Floresta,MT,15,11,2013,Mato Grosso,-9.871722597,-56.09161044
6,Progne subis,Altamira,PA,5,2,2017,Pará,-3.20565951,-52.21437631
7,NID,Altamira,PA,18,7,2018,Pará,-3.20565951,-52.21437631
8,NID,Anapu,PA,19,1,2017,Pará,-3.476104635,-51.2016218
9,Progne subis,Angra dos Reis,RJ,28,1,2012,Rio de Janeiro,-23.00911594,-44.31962726
10,Progne subis,Apiacás,MT,15,11,2013,Mato Grosso,-9.565495169,-57.39540224
11,Progne subis,Apiacás,MT,11,12,2017,Mato Grosso,-9.565495169,-57.39540224
12,Progne subis,Apiacás,MT,15,11,2013,Mato Grosso,-9.565495169,-57.39540224
13,Progne subis,Apiacás,MT,20,11,2013,Mato Grosso,-9.565495169,-57.39540224
14,Progne subis,Apiacás,MT,16,11,2013,Mato Grosso,-9.565495169,-57.39540224
15,Progne subis,Apucarana,PR,2,3,2014,Paraná,-23.55159299,-51.45998514
16,Progne subis,Apucarana,PR,5,4,2014,Paraná,-23.55159299,-51.45998514
17,Progne subis,Apucarana,PR,9,4,2014,Paraná,-23.55159299,-51.45998514
18,Progne subis,Apucarana,PR,2,3,2014,Paraná,-23.55159299,-51.45998514
19,Progne subis,Apucarana,PR,2,3,2014,Paraná,-23.55159299,-51.45998514
20,Progne subis,Apucarana,PR,1,3,2015,Paraná,-23.55159299,-51.45998514
21,Progne subis,Apucarana,PR,28,2,2014,Paraná,-23.55159299,-51.45998514
22,Progne subis,Apucarana,PR,13,1,2017,Paraná,-23.55159299,-51.45998514
23,Progne subis,Apucarana,PR,2,3,2014,Paraná,-23.55159299,-51.45998514
24,Progne subis,Apucarana,PR,14,3,2014,Paraná,-23.55159299,-51.45998514
25,Progne subis,Apucarana,PR,11,4,2014,Paraná,-23.55159299,-51.45998514
26,Progne subis,Apucarana,PR,11,4,2014,Paraná,-23.55159299,-51.45998514
27,Progne subis,Apucarana,PR,21,2,2016,Paraná,-23.55159299,-51.45998514
28,Progne subis,Apucarana,PR,7,2,2015,Paraná,-23.55159299,-51.45998514
29,Progne subis,Apucarana,PR,2,3,2014,Paraná,-23.55159299,-51.45998514
30,NID,Apucarana,PR,12,1,2013,Paraná,-23.55159299,-51.45998514
31,Progne subis,Apucarana,PR,12,4,2014,Paraná,-23.55159299,-51.45998514
32,Progne subis,Apucarana,PR,28,2,2014,Paraná,-23.55159299,-51.45998514
